,Homework1,Homework2,Homework3,Homework4,Lab1,hw_scaled,overall
count,119.0,119.0,119.0,119.0,119.0,119.0,119.0
mean,90.4873949579832,95.56302521008404,93.75630252100841,85.43697478991596,86.82352941176471,91.3109243697479,89.38775510204083
std,16.909462573132764,16.32489969624865,21.68064292723382,20.733841433778114,26.711150169356063,15.67972505982993,18.881176837281245
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,86.0,100.0,100.0,85.0,94.5,93.125,85.78571428571429
50%,93.0,100.0,100.0,91.0,100.0,96.0,97.42857142857144
75%,100.0,100.0,100.0,98.0,100.0,97.75,98.64285714285714
max,100.0,100.0,100.0,104.0,100.0,101.0,100.57142857142858
